update,n_simul_rounds,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
479,1,1182.373,0.109,650.802,0.0221,520.083,4,4,1.0000,8192.00,20.000000,0.002253,0.419286,3.031127,34.2,228.0,34.2,238.0
480,1,889.436,0.170,622.127,0.0317,256.513,4,4,1.0000,8192.00,20.000000,0.012490,0.244629,2.206455,34.2,238.0,34.2,216.0
481,1,1110.117,0.172,653.548,0.0225,445.228,6,6,1.0000,5461.33,20.000000,0.007025,0.371262,2.591512,34.2,216.0,34.2,226.0
482,1,1370.765,0.111,663.371,0.0228,695.028,9,9,1.0000,3640.89,20.000000,0.003971,0.286141,2.467439,34.2,226.0,34.2,234.0
483,1,987.571,0.169,673.329,0.0232,303.663,2,2,1.0000,16384.00,20.000000,0.002137,0.570969,2.776484,34.2,234.0,33.8,214.0
484,1,980.364,0.193,645.201,0.0225,325.179,4,4,1.0000,8192.00,20.000000,0.007872,0.387369,2.489243,33.8,214.0,34.2,230.0
485,1,831.732,0.180,665.631,0.0225,156.034,1,1,1.0000,32768.00,20.000000,0.009147,0.176937,2.947436,34.2,230.0,34.2,248.0
486,1,989.665,0.184,658.143,0.0231,319.108,8,8,1.0000,4096.00,20.000000,0.010589,0.544533,2.165066,34.2,248.0,34.2,230.0
487,1,711.847,0.178,633.966,0.0217,68.330,3,3,1.0000,10922.67,20.000000,0.014694,0.288205,1.577123,34.2,230.0,34.2,208.0
488,1,1138.154,0.179,657.515,0.0239,470.257,3,3,1.0000,10922.67,20.000000,0.002982,0.495828,2.717717,34.2,208.0,34.2,230.0
489,1,1178.168,0.171,667.076,0.0223,501.904,3,3,1.0000,10922.67,20.000000,0.006334,0.279256,2.983798,34.2,230.0,34.2,264.0
490,1,758.398,0.108,638.267,0.0243,109.133,1,1,1.0000,32768.00,20.000000,0.002972,0.337980,2.211135,34.2,264.0,34.2,226.0
491,1,1009.449,0.166,705.149,0.0229,293.260,2,2,1.0000,16384.00,20.000000,0.007307,0.380607,2.400525,34.2,226.0,34.2,240.0
492,1,826.627,0.178,667.523,0.0223,148.976,1,1,1.0000,32768.00,20.000000,-0.002875,0.424121,2.648819,34.2,240.0,34.2,266.0
493,1,901.098,0.105,642.634,0.0231,249.227,2,2,1.0000,16384.00,20.000000,-0.004369,0.673053,2.583891,34.2,266.0,34.2,246.0
494,1,1155.971,0.110,669.055,0.0250,475.310,6,6,1.0000,5461.33,20.000000,0.004936,0.531218,2.271257,34.2,246.0,34.2,226.0
495,1,1116.110,0.101,667.304,0.0224,439.743,5,5,1.0000,6553.60,20.000000,0.009347,0.459455,2.503227,34.2,226.0,34.2,230.0
496,1,900.145,0.122,630.127,0.0234,261.240,8,8,1.0000,4096.00,20.000000,0.000421,0.777874,1.900563,34.2,230.0,34.2,218.0
497,2,2141.926,0.301,1367.116,0.0225,756.615,5,5,1.0000,6553.60,20.000000,-0.003852,0.363054,2.780390,34.2,218.0,34.2,240.0
498,1,1087.187,0.100,745.504,0.0233,332.144,7,7,1.0000,4681.14,20.000000,0.007830,0.410307,1.845641,34.2,240.0,34.2,206.0
499,1,826.468,0.111,717.390,0.0218,98.778,1,1,1.0000,32768.00,20.000000,0.007203,0.163261,2.001364,34.2,206.0,34.2,248.0
