update,n_simul_rounds,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
246,1,618.642,0.160,396.290,0.0219,218.441,10,10,1.0000,3276.80,20.000000,0.004599,0.568953,1.654864,34.2,146.0,34.2,166.0
247,1,440.993,0.147,378.879,0.0236,58.601,2,2,1.0000,16384.00,20.000000,0.009672,0.166537,1.629647,34.2,166.0,34.2,166.0
248,1,493.920,0.150,394.571,0.0228,95.899,5,5,1.0000,6553.60,20.000000,0.008590,0.341007,1.324010,34.2,166.0,34.2,156.0
249,1,512.802,0.129,361.811,0.0222,147.239,5,5,1.0000,6553.60,20.000000,0.009672,0.227477,1.429990,34.2,156.0,34.2,146.0
250,1,509.464,0.087,372.977,0.0208,133.185,8,7,0.8750,4096.00,17.500000,0.007526,0.564978,1.468765,34.2,146.0,34.2,152.0
251,1,443.859,0.081,376.290,0.0260,64.227,3,3,1.0000,10922.67,23.333333,0.008953,0.216506,2.475861,34.2,152.0,34.2,162.0
252,2,1017.392,0.310,802.800,0.0204,208.081,5,5,1.0000,6553.60,20.000000,0.002117,0.281470,1.539619,34.2,162.0,33.8,156.0
253,1,643.881,0.095,380.496,0.0223,259.781,8,8,1.0000,4096.00,20.000000,0.005076,0.339329,1.453235,33.8,156.0,34.2,184.0
254,1,504.382,0.078,397.597,0.0218,103.396,7,5,0.7143,4681.14,14.285714,0.005619,0.368194,1.522295,34.2,184.0,34.2,174.0
255,1,441.203,0.139,379.056,0.0224,58.683,6,5,0.8333,5461.33,16.666667,0.006046,0.609853,1.513715,34.2,174.0,34.2,164.0
256,1,498.888,0.095,384.189,0.0209,111.321,3,3,1.0000,10922.67,20.000000,0.003394,0.163024,1.529754,34.2,164.0,34.2,154.0
257,1,474.458,0.090,389.928,0.0217,80.910,3,2,0.6667,10922.67,13.333333,0.010800,0.265035,1.505040,34.2,154.0,34.2,166.0
258,1,482.043,0.080,400.134,0.0224,78.468,4,4,1.0000,8192.00,20.000000,0.006414,0.527841,1.609485,34.2,166.0,34.2,164.0
259,1,524.830,0.082,374.270,0.0261,146.771,6,5,0.8333,5461.33,16.666667,0.008952,0.291087,1.638005,34.2,164.0,34.2,170.0
260,1,500.495,0.152,400.608,0.0211,96.314,2,2,1.0000,16384.00,20.000000,-0.002245,0.424195,1.481697,34.2,170.0,34.2,176.0
261,1,451.921,0.145,415.871,0.0232,32.841,1,1,1.0000,32768.00,20.000000,0.008208,0.257690,1.728346,34.2,176.0,34.2,164.0
262,1,625.177,0.081,423.435,0.0221,197.731,11,9,0.8182,2978.91,16.363636,0.004548,0.512845,1.369926,34.2,164.0,34.2,166.0
263,1,480.132,0.130,383.453,0.0218,93.332,4,3,0.7500,8192.00,15.000000,0.004344,0.200647,1.831591,34.2,166.0,34.2,154.0
264,2,965.885,0.313,809.942,0.0206,148.962,6,6,1.0000,5461.33,20.000000,0.004380,0.275754,1.596356,34.2,154.0,34.2,160.0
265,1,468.238,0.075,396.066,0.0243,68.587,3,2,0.6667,10922.67,13.333333,0.009003,0.324483,1.505315,34.2,160.0,34.2,156.0
266,1,546.823,0.082,398.586,0.0239,144.592,7,5,0.7143,4681.14,14.285714,0.009990,0.292344,1.725304,34.2,156.0,34.2,170.0
267,1,446.165,0.144,416.171,0.0249,26.593,3,2,0.6667,10922.67,13.333333,0.008028,0.325574,1.402688,34.2,170.0,34.2,142.0
268,1,558.829,0.077,392.987,0.0211,161.602,6,6,1.0000,5461.33,21.666667,0.004946,0.293745,1.668997,34.2,142.0,34.2,164.0
269,1,588.354,0.144,416.170,0.0265,168.121,5,5,1.0000,6553.60,20.000000,-0.000553,0.217649,1.738795,34.2,164.0,34.2,178.0
270,1,467.324,0.082,415.672,0.0228,47.996,3,3,1.0000,10922.67,20.000000,0.008492,0.276949,1.447284,34.2,178.0,34.2,144.0
271,1,487.076,0.085,426.379,0.0213,57.144,3,2,0.6667,10922.67,13.333333,-0.002953,0.282908,1.676491,34.2,144.0,34.2,150.0
272,1,567.819,0.078,424.483,0.0246,139.619,3,3,1.0000,10922.67,20.000000,0.009888,0.122461,1.819660,34.2,150.0,34.2,162.0
273,1,809.795,0.091,405.308,0.0217,400.090,14,13,0.9286,2340.57,18.571429,0.001114,0.352375,1.773057,34.2,162.0,34.2,144.0
274,1,623.333,0.078,398.838,0.0211,220.766,9,8,0.8889,3640.89,17.777778,0.004264,0.466757,1.566620,34.2,144.0,34.2,138.0
275,1,578.813,0.150,425.718,0.0211,149.536,4,4,1.0000,8192.00,20.000000,0.003517,0.424078,1.830317,34.2,138.0,34.2,156.0
276,1,616.456,0.149,429.224,0.0217,183.325,5,5,1.0000,6553.60,20.000000,0.002955,0.415294,2.111137,34.2,156.0,34.2,156.0
277,1,582.445,0.080,388.091,0.0223,190.330,4,4,1.0000,8192.00,20.000000,0.004832,0.136323,1.939786,34.2,156.0,34.2,170.0
278,1,503.363,0.076,445.581,0.0207,53.801,3,2,0.6667,10922.67,13.333333,0.008270,0.589845,1.776841,34.2,170.0,34.2,146.0
279,1,554.433,0.148,438.614,0.0210,111.982,3,3,1.0000,10922.67,20.000000,0.008360,0.260591,1.899176,34.2,146.0,34.2,160.0
280,1,631.940,0.080,408.564,0.0255,219.316,4,4,1.0000,8192.00,20.000000,0.001347,0.278617,1.635448,34.2,160.0,34.2,154.0
281,1,585.465,0.147,414.246,0.0218,166.962,7,6,0.8571,4681.14,17.142857,0.009529,0.255841,2.087758,34.2,154.0,34.2,162.0
