update,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
450,1175.827,0.044,532.665,0.0100,641.832,1,0,0.0000,16384.00,4104.7002,0.000599,0.231213,1.227758,33.8,244.0,34.2,262.0
451,1170.364,0.066,522.229,0.0105,646.804,2,2,1.0000,8192.00,2076.7500,0.003454,0.561788,1.245527,34.2,262.0,33.8,246.0
452,1197.831,0.032,527.659,0.0106,668.783,0,0,0.0000,16384.00,3921.6001,-0.002766,0.213518,1.297978,33.8,246.0,34.2,268.0
453,1207.191,0.067,531.751,0.0108,673.970,5,2,0.4000,3276.80,858.5200,-0.008527,0.412652,1.341334,34.2,268.0,34.2,268.0
454,1323.484,0.066,555.041,0.0103,767.063,0,0,0.0000,16384.00,3840.7000,-0.004200,0.209367,1.267022,34.2,268.0,34.2,260.0
455,1362.559,0.053,569.610,0.0102,791.568,3,2,0.6667,5461.33,1257.5000,-0.004887,0.629174,1.267191,34.2,260.0,33.8,248.0
456,1437.217,0.068,574.476,0.0109,861.288,0,0,0.0000,16384.00,3634.3000,-0.000215,0.222473,1.238267,33.8,248.0,33.8,252.0
457,1445.606,0.046,571.156,0.0112,873.081,0,0,0.0000,16384.00,3535.8999,0.013265,0.218328,1.161008,33.8,252.0,34.2,270.0
458,1431.161,0.063,583.867,0.0114,845.858,0,0,0.0000,16384.00,3557.1001,0.004029,0.215210,1.216310,34.2,270.0,34.2,268.0
459,1345.421,0.066,562.079,0.0104,781.939,1,0,0.0000,16384.00,3636.3000,0.004816,0.204000,1.264485,34.2,268.0,34.2,276.0
460,1297.267,0.034,579.670,0.0103,716.228,4,2,0.5000,4096.00,997.5500,0.000302,0.437054,1.300917,34.2,276.0,34.2,268.0
461,1378.866,0.052,574.272,0.0104,803.227,0,0,0.0000,16384.00,3733.5000,-0.003921,0.197988,1.212870,34.2,268.0,33.8,240.0
462,1314.387,0.046,556.131,0.0107,756.954,2,0,0.0000,8192.00,1926.2000,-0.000994,0.242229,1.188942,33.8,240.0,34.2,246.0
463,1264.188,0.048,551.015,0.0117,711.841,0,0,0.0000,16384.00,3823.0000,-0.004818,0.195955,1.246171,34.2,246.0,33.8,232.0
464,1340.126,0.062,553.758,0.0105,785.011,7,4,0.5714,2340.57,580.9429,-0.011518,0.772881,1.282904,33.8,232.0,34.2,264.0
465,1221.642,0.031,543.131,0.0104,677.193,2,0,0.0000,8192.00,1904.8500,-0.002381,0.256264,1.315409,34.2,264.0,34.2,262.0
466,1128.981,0.067,510.396,0.0108,617.250,2,1,0.5000,8192.00,1851.4500,0.003408,0.345146,1.329522,34.2,262.0,34.2,276.0
467,1150.888,0.037,530.898,0.0110,618.685,0,0,0.0000,16384.00,3363.3000,-0.021218,0.192007,1.531556,34.2,276.0,34.2,282.0
468,1218.804,0.066,520.996,0.0104,696.465,2,2,1.0000,8192.00,1836.6499,-0.004656,0.327736,1.380883,34.2,282.0,34.2,280.0
469,1344.399,0.069,563.404,0.0103,779.625,1,1,1.0000,16384.00,3447.7998,0.002657,0.300462,1.403030,34.2,280.0,33.8,230.0
470,1317.524,0.032,571.893,0.0102,744.378,1,1,1.0000,16384.00,3658.1001,-0.006816,0.283957,1.425505,33.8,230.0,34.2,250.0
471,1283.833,0.045,563.782,0.0098,718.780,2,0,0.0000,8192.00,1667.7000,-0.026896,0.213116,1.400928,34.2,250.0,34.2,236.0
472,1223.111,0.033,550.644,0.0111,671.219,0,0,0.0000,16384.00,3402.1001,-0.005556,0.227121,1.464431,34.2,236.0,34.2,248.0
473,1299.213,0.065,537.247,0.0103,760.685,0,0,0.0000,16384.00,3303.2998,-0.011099,0.198863,1.435224,34.2,248.0,34.2,250.0
474,1321.642,0.065,553.352,0.0103,767.012,0,0,0.0000,16384.00,3372.8999,-0.024387,0.197283,1.412325,34.2,250.0,34.2,270.0
475,1137.059,0.063,547.197,0.0103,588.578,4,2,0.5000,4096.00,912.3500,0.009357,0.518607,1.284858,34.2,270.0,34.2,270.0
476,1220.100,0.046,548.728,0.0121,670.079,0,0,0.0000,16384.00,3314.5000,0.025998,0.213198,1.407156,34.2,270.0,34.2,246.0
477,1224.994,0.068,530.518,0.0110,693.247,0,0,0.0000,16384.00,3226.2000,0.013636,0.189802,1.387014,34.2,246.0,34.2,248.0
478,1195.938,0.068,558.365,0.0103,636.350,2,1,0.5000,8192.00,1755.0000,0.003509,0.288990,1.385562,34.2,248.0,34.2,258.0
