update,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
108,481.219,0.129,294.889,0.0120,185.187,2,2,1.0000,8192.00,-153.5500,-0.016083,0.419238,2.843671,33.8,192.0,34.2,230.0
109,487.318,0.123,302.480,0.0108,183.745,1,1,1.0000,16384.00,-380.2000,-0.012088,0.177738,2.865446,34.2,230.0,33.8,202.0
110,475.363,0.124,289.775,0.0122,184.499,1,1,1.0000,16384.00,-318.7000,0.002194,0.317849,2.826303,33.8,202.0,34.2,206.0
111,470.614,0.069,286.806,0.0122,182.740,0,0,0.0000,16384.00,-428.3000,-0.008088,0.191215,2.887444,34.2,206.0,33.8,198.0
112,497.282,0.131,304.563,0.0107,191.567,3,3,1.0000,5461.33,-84.4000,0.000600,0.584121,2.891743,33.8,198.0,34.2,232.0
113,495.308,0.059,307.076,0.0110,187.155,1,1,1.0000,16384.00,-227.9000,0.007945,0.330579,2.767329,34.2,232.0,34.2,218.0
114,479.862,0.065,296.368,0.0115,182.415,1,1,1.0000,16384.00,-377.0000,0.010375,0.503667,2.800682,34.2,218.0,33.8,196.0
115,481.880,0.063,298.157,0.0109,182.676,3,3,1.0000,5461.33,-66.1333,0.001072,0.798392,2.780800,33.8,196.0,34.2,190.0
116,485.095,0.062,302.963,0.0115,181.019,0,0,0.0000,16384.00,-515.1000,-0.003464,0.167269,2.793954,34.2,190.0,34.2,240.0
117,461.236,0.064,282.797,0.0112,177.387,2,2,1.0000,8192.00,-235.1500,-0.002275,0.362209,2.877351,34.2,240.0,33.8,202.0
118,442.957,0.075,259.268,0.0111,182.626,0,0,0.0000,16384.00,-598.8000,-0.032836,0.136645,2.814414,33.8,202.0,33.8,186.0
119,455.972,0.121,274.798,0.0117,180.102,1,1,1.0000,16384.00,-623.2000,-0.022731,0.146691,2.809526,33.8,186.0,34.2,204.0
120,459.632,0.122,273.934,0.0110,184.569,2,2,1.0000,8192.00,-339.8000,-0.026836,0.317307,2.941596,34.2,204.0,33.8,190.0
121,434.389,0.073,254.582,0.0110,178.767,1,1,1.0000,16384.00,-678.8000,0.028740,0.480041,2.829027,33.8,190.0,33.8,198.0
122,456.299,0.129,274.817,0.0110,180.361,0,0,0.0000,16384.00,-760.3000,0.021329,0.159594,2.941231,33.8,198.0,33.8,196.0
123,467.738,0.115,279.098,0.0120,187.500,0,0,0.0000,16384.00,-924.2000,-0.016726,0.152904,2.859129,33.8,196.0,34.2,226.0
124,448.472,0.068,267.608,0.0120,179.782,0,0,0.0000,16384.00,-746.7000,-0.030197,0.120540,2.774767,34.2,226.0,33.8,210.0
125,464.857,0.127,279.964,0.0130,183.766,0,0,0.0000,16384.00,-677.5000,0.005484,0.148634,2.893017,33.8,210.0,33.8,188.0
126,462.339,0.062,277.521,0.0106,183.738,1,1,1.0000,16384.00,-554.9000,0.014218,0.396290,2.767955,33.8,188.0,34.2,208.0
127,455.877,0.069,281.011,0.0123,173.771,0,0,0.0000,16384.00,-609.3000,-0.021615,0.202489,2.778860,34.2,208.0,33.8,186.0
128,472.530,0.067,284.828,0.0119,186.644,0,0,0.0000,16384.00,-668.5000,0.002474,0.147827,2.850917,33.8,186.0,33.8,186.0
129,462.879,0.065,281.204,0.0110,180.597,1,1,1.0000,16384.00,-739.9000,-0.033126,0.273561,2.831524,33.8,186.0,33.8,186.0
130,454.970,0.129,279.380,0.0111,174.472,3,3,1.0000,5461.33,-233.2333,-0.004970,0.583425,2.885011,33.8,186.0,33.8,202.0
131,457.672,0.061,276.925,0.0111,179.660,0,0,0.0000,16384.00,-951.9000,0.036059,0.156397,2.887349,33.8,202.0,33.8,188.0
132,464.649,0.116,276.784,0.0106,186.737,0,0,0.0000,16384.00,-882.8000,0.033165,0.130398,2.876707,33.8,188.0,33.8,178.0
133,463.703,0.135,276.367,0.0134,186.170,1,1,1.0000,16384.00,-671.4000,0.003048,0.250106,2.938762,33.8,178.0,33.8,192.0
134,453.232,0.066,272.723,0.0111,179.389,1,0,0.0000,16384.00,-573.8000,-0.007437,0.159572,2.846971,33.8,192.0,34.2,202.0
135,475.408,0.068,294.460,0.0112,179.814,0,0,0.0000,16384.00,-695.4000,-0.006772,0.159007,2.863355,34.2,202.0,33.8,228.0
136,467.461,0.067,276.182,0.0125,190.147,0,0,0.0000,16384.00,-646.9000,-0.009318,0.124159,2.973324,33.8,228.0,33.8,190.0
137,488.649,0.065,300.681,0.0118,186.826,0,0,0.0000,16384.00,-658.5000,0.017035,0.131206,2.956717,33.8,190.0,33.8,190.0
138,451.587,0.066,262.350,0.0106,188.094,1,0,0.0000,16384.00,-619.8000,-0.001967,0.127728,2.893402,33.8,190.0,33.8,210.0
139,480.487,0.131,288.387,0.0125,190.843,0,0,0.0000,16384.00,-546.4000,0.020843,0.145934,2.978974,33.8,210.0,33.8,218.0
140,488.912,0.064,296.711,0.0109,191.051,0,0,0.0000,16384.00,-607.7000,0.000913,0.136936,2.978106,33.8,218.0,33.8,192.0
